,equity,drawdown,capital
2020-01-02,100857.05411791628,0.0,135269.8996477689
2020-01-03,98537.44953792993,-0.0229989325017802,135269.8996477689
2020-01-06,96709.12720245511,-0.041126790304738134,135269.8996477689
2020-01-07,96578.81398758868,-0.042418848812753596,135269.8996477689
2020-01-08,95885.37070801959,-0.049294354801242626,135269.8996477689
2020-01-09,96063.12573311862,-0.047531909658920596,135269.8996477689
2020-01-10,93873.93176926517,-0.069237817916899,135269.8996477689
2020-01-13,93531.78188484712,-0.0726302418520461,135269.8996477689
2020-01-14,92713.1005402658,-0.08074748612158585,135269.8996477689
2020-01-15,93231.41101706645,-0.07560842588099359,135269.8996477689
2020-01-16,93938.94929391445,-0.06859316767187723,135269.8996477689
2020-01-17,92831.34344425604,-0.07957510502217369,135269.8996477689
2020-01-20,93951.89586511292,-0.06846480212212272,135269.8996477689
2020-01-21,94368.49357600887,-0.06433422628348197,135269.8996477689
2020-01-22,93930.2491799001,-0.06867942950145817,135269.8996477689
2020-01-23,93928.19248309478,-0.06869982169735667,135269.8996477689
2020-01-24,94074.03126471903,-0.06725382683958757,135269.8996477689
2020-01-27,93879.15641848986,-0.06918601540025415,135269.8996477689
2020-01-28,93071.74659981349,-0.0771915022324632,135269.8996477689
2020-01-29,91381.2506485531,-0.09395280828135841,135269.8996477689
2020-01-30,92520.31740563393,-0.08265893531389004,135269.8996477689
2020-01-31,92448.13409527227,-0.08337463448826087,135269.8996477689
2020-02-03,93024.8660206501,-0.07765632424787308,135269.8996477689
2020-02-04,93289.01056246247,-0.07503732507005102,135269.8996477689
2020-02-05,93828.6455787419,-0.06968683153244962,135269.8996477689
2020-02-06,92237.192458561,-0.08546612564429494,135269.8996477689
2020-02-07,92601.79812912177,-0.0818510520755736,135269.8996477689
2020-02-10,92785.56593615614,-0.08002899006274188,135269.8996477689
2020-02-11,92607.64438943418,-0.08179308627076662,135269.8996477689
2020-02-12,92859.44240955457,-0.07929650313810836,135269.8996477689
2020-02-13,93029.16191310369,-0.07761373037587112,135269.8996477689
2020-02-14,93219.7599443275,-0.07572394653387061,135269.8996477689
2020-02-17,94129.85433560598,-0.06670033981406244,135269.8996477689
2020-02-18,93494.80496602437,-0.07299686884850308,135269.8996477689
2020-02-19,95667.02747399209,-0.05145923296407523,135269.8996477689
2020-02-20,95395.19130255349,-0.05415449482568763,135269.8996477689
2020-02-21,94869.4648522705,-0.0593670846130945,135269.8996477689
2020-02-24,94454.9253409686,-0.063477253355652,135269.8996477689
2020-02-25,93916.0226197975,-0.06882048617049362,135269.8996477689
2020-02-26,94729.53999162481,-0.060754442809003044,135269.8996477689
2020-02-27,96483.24647653838,-0.043366402872170945,135269.8996477689
2020-02-28,97918.37138376279,-0.029137106569836514,135269.8996477689
2020-03-02,97764.32303687769,-0.030664499455067894,135269.8996477689
2020-03-03,97689.92770135587,-0.031402130909530486,135269.8996477689
2020-03-04,97879.3334515819,-0.029524168560911983,135269.8996477689
2020-03-05,98140.80447414081,-0.026931677387679705,135269.8996477689
2020-03-06,97821.20809400381,-0.03010048281167455,135269.8996477689
2020-03-09,97363.60765972263,-0.034637601591152076,135269.8996477689
